23:32:39: [INFO] [/home/pencilknot/Documents/Programming/Design Teams/WARG Autonomy Bootcamp/autonomy-bootcamp-2025-p2/modules/command/command_worker.py | command_worker | 52] Logger initialized
23:32:39: [INFO] [/home/pencilknot/Documents/Programming/Design Teams/WARG Autonomy Bootcamp/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 88] AVERAGE VELOCITY: (0.0, 0.0, 4.0) m/s
23:32:40: [INFO] [/home/pencilknot/Documents/Programming/Design Teams/WARG Autonomy Bootcamp/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 88] AVERAGE VELOCITY: (0.0, 0.0, 1.0) m/s
23:32:40: [INFO] [/home/pencilknot/Documents/Programming/Design Teams/WARG Autonomy Bootcamp/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 88] AVERAGE VELOCITY: (0.0, 0.0, 0.67) m/s
23:32:41: [INFO] [/home/pencilknot/Documents/Programming/Design Teams/WARG Autonomy Bootcamp/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 88] AVERAGE VELOCITY: (0.0, 0.0, 0.5) m/s
23:32:41: [INFO] [/home/pencilknot/Documents/Programming/Design Teams/WARG Autonomy Bootcamp/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 88] AVERAGE VELOCITY: (0.0, 0.0, 0.4) m/s
23:32:42: [INFO] [/home/pencilknot/Documents/Programming/Design Teams/WARG Autonomy Bootcamp/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 88] AVERAGE VELOCITY: (0.0, 0.0, 0.33) m/s
23:32:42: [INFO] [/home/pencilknot/Documents/Programming/Design Teams/WARG Autonomy Bootcamp/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 88] AVERAGE VELOCITY: (0.0, 0.0, 0.29) m/s
23:32:43: [INFO] [/home/pencilknot/Documents/Programming/Design Teams/WARG Autonomy Bootcamp/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 88] AVERAGE VELOCITY: (0.0, 2.5, 0.25) m/s
23:32:43: [INFO] [/home/pencilknot/Documents/Programming/Design Teams/WARG Autonomy Bootcamp/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 88] AVERAGE VELOCITY: (0.0, 4.44, 0.22) m/s
23:32:44: [INFO] [/home/pencilknot/Documents/Programming/Design Teams/WARG Autonomy Bootcamp/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 88] AVERAGE VELOCITY: (0.0, 6.0, 0.2) m/s
23:32:44: [INFO] [/home/pencilknot/Documents/Programming/Design Teams/WARG Autonomy Bootcamp/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 88] AVERAGE VELOCITY: (1.82, 5.45, 0.18) m/s
