16:14:28: [INFO] [/home/pencilknot/Documents/Programming/WARG Autonomy Bootcamp/autonomy-bootcamp-2025-p2/modules/command/command_worker.py | command_worker | 52] Logger initialized
16:14:28: [INFO] [/home/pencilknot/Documents/Programming/WARG Autonomy Bootcamp/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 91] AVERAGE VELOCITY: (0.0, 0.0, 4.0) m/s
16:14:29: [INFO] [/home/pencilknot/Documents/Programming/WARG Autonomy Bootcamp/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 91] AVERAGE VELOCITY: (0.0, 0.0, 1.0) m/s
16:14:29: [INFO] [/home/pencilknot/Documents/Programming/WARG Autonomy Bootcamp/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 91] AVERAGE VELOCITY: (0.0, 0.0, 0.67) m/s
16:14:30: [INFO] [/home/pencilknot/Documents/Programming/WARG Autonomy Bootcamp/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 91] AVERAGE VELOCITY: (0.0, 0.0, 0.5) m/s
16:14:30: [INFO] [/home/pencilknot/Documents/Programming/WARG Autonomy Bootcamp/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 91] AVERAGE VELOCITY: (0.0, 0.0, 0.4) m/s
16:14:31: [INFO] [/home/pencilknot/Documents/Programming/WARG Autonomy Bootcamp/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 91] AVERAGE VELOCITY: (0.0, 0.0, 0.33) m/s
16:14:31: [INFO] [/home/pencilknot/Documents/Programming/WARG Autonomy Bootcamp/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 91] AVERAGE VELOCITY: (0.0, 0.0, 0.29) m/s
16:14:32: [INFO] [/home/pencilknot/Documents/Programming/WARG Autonomy Bootcamp/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 91] AVERAGE VELOCITY: (0.0, 2.5, 0.25) m/s
16:14:32: [INFO] [/home/pencilknot/Documents/Programming/WARG Autonomy Bootcamp/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 91] AVERAGE VELOCITY: (0.0, 4.44, 0.22) m/s
16:14:33: [INFO] [/home/pencilknot/Documents/Programming/WARG Autonomy Bootcamp/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 91] AVERAGE VELOCITY: (0.0, 6.0, 0.2) m/s
16:14:33: [INFO] [/home/pencilknot/Documents/Programming/WARG Autonomy Bootcamp/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 91] AVERAGE VELOCITY: (1.82, 5.45, 0.18) m/s
16:14:34: [INFO] [/home/pencilknot/Documents/Programming/WARG Autonomy Bootcamp/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 91] AVERAGE VELOCITY: (3.33, 5.0, 0.17) m/s
16:14:34: [INFO] [/home/pencilknot/Documents/Programming/WARG Autonomy Bootcamp/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 91] AVERAGE VELOCITY: (4.62, 4.62, 0.15) m/s
16:14:35: [INFO] [/home/pencilknot/Documents/Programming/WARG Autonomy Bootcamp/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 91] AVERAGE VELOCITY: (4.29, 2.86, 0.14) m/s
16:14:35: [INFO] [/home/pencilknot/Documents/Programming/WARG Autonomy Bootcamp/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 91] AVERAGE VELOCITY: (4.0, 1.33, 0.13) m/s
16:14:36: [INFO] [/home/pencilknot/Documents/Programming/WARG Autonomy Bootcamp/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 91] AVERAGE VELOCITY: (3.75, 0.0, 0.12) m/s
16:14:36: [INFO] [/home/pencilknot/Documents/Programming/WARG Autonomy Bootcamp/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 91] AVERAGE VELOCITY: (2.35, 0.0, 0.12) m/s
16:14:37: [INFO] [/home/pencilknot/Documents/Programming/WARG Autonomy Bootcamp/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 91] AVERAGE VELOCITY: (1.11, 0.0, 0.11) m/s
