16:13:55: [INFO] [/home/pencilknot/Documents/Programming/WARG Autonomy Bootcamp/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_receiver_worker.py | heartbeat_receiver_worker | 46] Logger initialized
16:13:58: [WARNING] [/home/pencilknot/Documents/Programming/WARG Autonomy Bootcamp/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_receiver.py | run | 66] Missed 1 heartbeat(s)
16:13:59: [WARNING] [/home/pencilknot/Documents/Programming/WARG Autonomy Bootcamp/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_receiver.py | run | 66] Missed 1 heartbeat(s)
16:14:00: [WARNING] [/home/pencilknot/Documents/Programming/WARG Autonomy Bootcamp/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_receiver.py | run | 66] Missed 1 heartbeat(s)
16:14:01: [WARNING] [/home/pencilknot/Documents/Programming/WARG Autonomy Bootcamp/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_receiver.py | run | 66] Missed 2 heartbeat(s)
16:14:02: [WARNING] [/home/pencilknot/Documents/Programming/WARG Autonomy Bootcamp/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_receiver.py | run | 66] Missed 3 heartbeat(s)
16:14:03: [WARNING] [/home/pencilknot/Documents/Programming/WARG Autonomy Bootcamp/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_receiver.py | run | 66] Missed 4 heartbeat(s)
16:14:04: [WARNING] [/home/pencilknot/Documents/Programming/WARG Autonomy Bootcamp/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_receiver.py | run | 66] Missed 5 heartbeat(s)
16:14:05: [WARNING] [/home/pencilknot/Documents/Programming/WARG Autonomy Bootcamp/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_receiver.py | run | 66] Missed 6 heartbeat(s)
16:14:06: [WARNING] [/home/pencilknot/Documents/Programming/WARG Autonomy Bootcamp/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_receiver.py | run | 66] Missed 7 heartbeat(s)
16:14:07: [WARNING] [/home/pencilknot/Documents/Programming/WARG Autonomy Bootcamp/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_receiver.py | run | 66] Missed 8 heartbeat(s)
16:14:09: [WARNING] [/home/pencilknot/Documents/Programming/WARG Autonomy Bootcamp/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_receiver.py | run | 66] Missed 1 heartbeat(s)
16:14:11: [WARNING] [/home/pencilknot/Documents/Programming/WARG Autonomy Bootcamp/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_receiver.py | run | 66] Missed 1 heartbeat(s)
16:14:13: [WARNING] [/home/pencilknot/Documents/Programming/WARG Autonomy Bootcamp/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_receiver.py | run | 66] Missed 1 heartbeat(s)
16:14:15: [WARNING] [/home/pencilknot/Documents/Programming/WARG Autonomy Bootcamp/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_receiver.py | run | 66] Missed 1 heartbeat(s)
16:14:16: [WARNING] [/home/pencilknot/Documents/Programming/WARG Autonomy Bootcamp/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_receiver.py | run | 66] Missed 2 heartbeat(s)
